#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421176.104692, 4391533.72896, 3783.56326007, None, None, None, 421176.104692, 4391533.72896, 3783.56326007, 421176.104692, 4391533.72896, 3783.56326007, 0, 0, 0
421180.251972, 4391538.62411, 3781.15867232, None, None, None, 421180.251972, 4391538.62411, 3781.15867232, 421180.251972, 4391538.62411, 3781.15867232, 0, 0, 0
421180.279412, 4391538.6565, 3781.14276239, None, None, None, 421180.279412, 4391538.6565, 3781.14276239, 421180.279412, 4391538.6565, 3781.14276239, 0, 0, 0
421180.488003, 4391538.90271, 3781.02182179, None, None, None, 421180.488003, 4391538.90271, 3781.02182179, 421180.488003, 4391538.90271, 3781.02182179, 0, 0, 0
421180.664665, 4391539.11122, 3780.91939325, None, None, None, 421180.664665, 4391539.11122, 3780.91939325, 421180.664665, 4391539.11122, 3780.91939325, 0, 0, 0
421184.871314, 4391544.07645, 3776.92153403, None, None, None, 421184.871314, 4391544.07645, 3776.92153403, 421184.871314, 4391544.07645, 3776.92153403, 0, 0, 0
421188.760344, 4391548.66678, 3771.45105621, None, None, None, 421188.760344, 4391548.66678, 3771.45105621, 421188.760344, 4391548.66678, 3771.45105621, 0, 0, 0
421189.254624, 4391549.25019, 3771, None, None, None, 421189.254624, 4391549.25019, 3771, 421189.254624, 4391549.25019, 3771, 0, 0, 0
421189.838236, 4391549.93905, 3770.60056778, None, None, None, 421189.838236, 4391549.93905, 3770.60056778, 421189.838236, 4391549.93905, 3770.60056778, 0, 0, 0
421192.824567, 4391553.4639, 3768.8690965, None, None, None, 421192.824567, 4391553.4639, 3768.8690965, 421192.824567, 4391553.4639, 3768.8690965, 0, 0, 0
421193.637935, 4391554.42394, 3768.39750694, None, None, None, 421193.637935, 4391554.42394, 3768.39750694, 421193.637935, 4391554.42394, 3768.39750694, 0, 0, 0
